# SAMPLE — NOT FOR TRAINING — audit pipeline development only
Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,_source
EID_001,2020-03-15,Male,Service,Yes,Analyst,5.0,4.2,0.45,SAMPLE
EID_002,2019-07-22,Female,Product,No,Senior Analyst,7.0,6.1,0.72,SAMPLE
EID_003,2021-01-10,Male,Service,Yes,Associate,3.0,3.5,0.30,SAMPLE
EID_004,2018-11-05,Female,Product,Yes,Lead,8.0,7.8,0.85,SAMPLE
EID_005,2020-09-18,Male,Service,No,Analyst,4.0,3.9,0.38,SAMPLE
EID_006,2017-05-30,Female,Product,Yes,Manager,9.0,8.2,0.91,SAMPLE
fakeEMP_007,2019-12-01,Male,Service,Yes,Senior Analyst,6.0,5.5,0.60,SAMPLE
EID_008,2021-06-14,Female,Product,No,Associate,2.0,2.8,0.25,SAMPLE
EID_009,2020-02-28,Male,Service,Yes,Analyst,5.5,11.5,0.55,SAMPLE
EID_010,2018-08-12,Female,Product,Yes,Lead,7.5,6.7,0.74,SAMPLE
EID_011,2019-04-03,Male,Service,No,Manager,8.5,7.3,,SAMPLE
EID_012,2020-11-19,Female,Product,Yes,Analyst,,4.1,0.42,SAMPLE
EID_013,2021-03-07,Male,Service,Yes,Associate,3.5,3.2,,SAMPLE
fakeEMP_007,2019-12-01,Male,Service,Yes,Senior Analyst,6.0,5.5,0.60,SAMPLE
TEST_001,2020-07-25,Female,Product,Yes,Analyst,4.5,4.8,0.50,SAMPLE
EID_014,2018-02-14,Male,Service,No,Lead,7.0,,0.68,SAMPLE
EID_015,2019-09-08,Female,Product,Yes,Senior Analyst,,5.9,,SAMPLE
EID_016,2020-06-21,Male,Service,Yes,Analyst,0.2,3.8,0.35,SAMPLE
EID_017,2021-08-30,Female,Product,No,Associate,2.5,2.1,0.22,SAMPLE
EID_018,2019-01-17,Male,Service,Yes,Manager,9.5,8.9,0.95,SAMPLE
